Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
260412 044744    1.0000  1.0000  0.9920  0.9920  0.9880  0.9960    3    9  16  fresh0412_v11_n700_s42_F0.9920_R0.9920
260412 050354    1.0000  1.0000  0.9920  0.9920  0.9933  0.9907    7    5  11  fresh0412_v11_n700_s1_F0.9920_R0.9920
260412 051710    0.9987  0.9987  0.9893  0.9893  0.9840  0.9947    4   12  13  fresh0412_v11_n700_s2_F0.9893_R0.9893
260412 053220    0.9973  0.9973  0.9907  0.9907  0.9880  0.9933    5    9  11  fresh0412_v11_n700_s3_F0.9907_R0.9907
260412 054606    0.9987  0.9987  0.9867  0.9867  0.9813  0.9920    6   14   7  fresh0412_v11_n700_s4_F0.9867_R0.9867
260412 130717    0.9987  0.9987  0.9867  0.9867  0.9773  0.9960    3   17   9  fresh0412_v11_n1400_s42_F0.9867_R0.9867
260412 132332    0.9993  0.9993  0.9827  0.9827  0.9667  0.9987    1   25  14  fresh0412_v11_n1400_s1_F0.9827_R0.9827
260412 134414    1.0000  1.0000  0.9933  0.9933  0.9920  0.9947    4    6  14  fresh0412_v11_n1400_s2_F0.9933_R0.9933
260412 140417    0.9993  0.9993  0.9933  0.9933  0.9920  0.9947    4    6  10  fresh0412_v11_n1400_s3_F0.9933_R0.9933
260412 155945    0.9993  0.9993  0.9933  0.9933  0.9920  0.9947    4    6  13  fresh0412_v11_n1400_s4_F0.9933_R0.9933
260412 161924    1.0000  1.0000  0.9940  0.9940  0.9947  0.9933    5    4  12  fresh0412_v11_n2100_s42_F0.9940_R0.9940
260412 164025    1.0000  1.0000  0.9893  0.9893  0.9800  0.9987    1   15  10  fresh0412_v11_n2100_s1_F0.9893_R0.9893
260412 165803    1.0000  0.9993  0.9913  0.9913  0.9853  0.9973    2   11  15  fresh0412_v11_n2100_s2_F0.9913_R0.9913
260412 172220    1.0000  1.0000  0.9900  0.9900  0.9840  0.9960    3   12  15  fresh0412_v11_n2100_s3_F0.9900_R0.9900
260412 174610    0.9987  0.9987  0.9933  0.9933  0.9893  0.9973    2    8  12  fresh0412_v11_n2100_s4_F0.9933_R0.9933
260412 180701    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3   9  fresh0412_v11_n2800_s42_F0.9967_R0.9967
260412 182638    1.0000  1.0000  0.9927  0.9927  0.9867  0.9987    1   10  12  fresh0412_v11_n2800_s1_F0.9927_R0.9927
260412 184851    0.9993  0.9993  0.9907  0.9907  0.9853  0.9960    3   11   8  fresh0412_v11_n2800_s2_F0.9907_R0.9907
260412 190833    1.0000  1.0000  0.9860  0.9860  0.9747  0.9973    2   19   9  fresh0412_v11_n2800_s3_F0.9860_R0.9860
260412 192816    1.0000  1.0000  0.9953  0.9953  0.9920  0.9987    1    6  19  fresh0412_v11_n2800_s4_F0.9953_R0.9953
260412 200235    0.9993  0.9993  0.9947  0.9947  0.9920  0.9973    2    6  11  fresh0412_v11_lr1e5_n2800_s42_F0.9947_R0.9947
260412 202425    0.9993  0.9993  0.9807  0.9807  0.9627  0.9987    1   28  13  fresh0412_v11_lr1e5_n2800_s1_F0.9807_R0.9807
260412 204855    0.9993  0.9993  0.9840  0.9840  0.9707  0.9973    2   22  14  fresh0412_v11_lr1e5_n2800_s2_F0.9840_R0.9840
260412 211436    0.9993  0.9993  0.9920  0.9920  0.9947  0.9893    8    4   9  fresh0412_v11_lr3e5_n2800_s42_F0.9920_R0.9920
260412 213442    1.0000  1.0000  0.9860  0.9860  0.9733  0.9987    1   20  13  fresh0412_v11_lr3e5_n2800_s1_F0.9860_R0.9860
260412 215812    0.9993  0.9993  0.9900  0.9900  0.9827  0.9973    2   13   7  fresh0412_v11_lr3e5_n2800_s2_F0.9900_R0.9900
