name,mtime,mode,epoch,val_f1,test_f1,test_acc,abn_R,nor_R,lr_bb,lr_head,epochs,batch_size,focal_gamma,abnormal_weight,dropout,label_smoothing,use_mixup,normal_ratio,ema_decay,smooth_window,min_epochs
r6_binary_full,2026-04-05T04:56:21.073777,binary,7,0.99,0.9406,0.9644,0.9586666666666667,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
r6_multiclass_2k,2026-04-05T10:36:23.424152,multiclass,9,0.995,0.9018,0.8994,,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6_multiclass_full,2026-04-05T05:56:00.341700,multiclass,33,0.9889,0.8932,0.8933,,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_cosine,2026-04-05T09:16:29.190429,anomaly_type,21,0.9893,0.9141,0.9147,,,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_drop03,2026-04-05T09:37:59.121421,anomaly_type,19,0.992,0.898,0.8987,,,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_gamma1,2026-04-05T09:45:39.678247,anomaly_type,1,0.9412,0.7904,0.7907,,,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_gamma3,2026-04-05T10:29:01.088709,anomaly_type,1,0.955,0.8572,0.8553,,,0.0001,0.001,1,32,,,,,False,,,,
r6b_at_lowlr,2026-04-05T11:08:35.645015,anomaly_type,14,0.9907,0.9219,0.922,,,5e-05,0.0005,50,32,,,,,False,,,,
r6b_at_ls005,2026-04-05T08:42:34.753842,anomaly_type,11,0.988,0.9079,0.9093,,,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_ls01,2026-04-05T08:54:47.623276,anomaly_type,7,0.9867,0.888,0.888,,,0.0001,0.001,50,32,,,,,False,,,,
r6b_at_mixup02,2026-04-05T08:02:16.014335,anomaly_type,11,0.988,0.8943,0.8933,,,0.0001,0.001,50,32,,,,,True,,,,
r6b_at_mixup04,2026-04-05T08:27:35.594231,anomaly_type,27,0.988,0.9156,0.9147,,,0.0001,0.001,50,32,,,,,True,,,,
r6b_bin_cosine,2026-04-05T07:35:06.735514,binary,21,0.998,0.9302,0.9578,0.952,0.9866666666666667,0.0001,0.001,50,32,,,,,False,,,,
r6b_bin_drop03,2026-04-05T07:45:51.016465,binary,3,0.9921,0.8795,0.9211,0.9053333333333333,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6b_bin_ls005,2026-04-05T06:51:48.918332,binary,12,0.9921,0.9082,0.9422,0.9306666666666666,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6b_bin_ls01,2026-04-05T07:08:44.995832,binary,10,0.994,0.9193,0.95,0.94,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6b_bin_mixup02,2026-04-05T06:18:41.087140,binary,15,0.998,0.8928,0.9311,0.9173333333333333,1.0,0.0001,0.001,50,32,,,,,True,,,,
r6b_bin_mixup04,2026-04-05T06:32:55.796770,binary,6,0.9921,0.9004,0.9367,0.924,1.0,0.0001,0.001,50,32,,,,,True,,,,
r6b_mc_cosine,2026-04-05T11:38:07.064987,multiclass,9,0.983,0.8361,0.8389,,0.9666666666666667,0.0001,0.001,50,32,,,,,False,,,,
r6b_mc_ls01,2026-04-05T11:41:21.577936,multiclass,6,0.9821,0.8698,0.8722,,1.0,0.0001,0.001,50,32,,,,,False,,,,
r6b_mc_mixup,2026-04-05T11:32:25.507423,multiclass,23,0.9778,0.8683,0.8667,,1.0,0.0001,0.001,50,32,,,,,True,,,,
swin_steplr,2026-04-03T20:50:35.608307,,12,0.9084,0.771,0.7667,,0.92,3e-05,0.0003,50,32,,,,,,,,,
swin_tiny,2026-04-03T18:03:03.419601,,24,0.884,0.7371,0.7333,,0.8666666666666667,3e-05,0.0003,50,32,,,,,,,,,
